"GEO_ID","B01003_001E","B01003_001M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Geographic Area Name"
"310M100US34220","44712","*****","Moultrie, GA Micro Area"
"310M100US34260","41388","*****","Mountain Home, AR Micro Area"
"310M100US34300","26669","*****","Mountain Home, ID Micro Area"
"310M100US34340","73287","*****","Mount Airy, NC Micro Area"
"310M100US34380","69451","*****","Mount Pleasant, MI Micro Area"
"310M100US34420","30995","*****","Mount Pleasant, TX Micro Area"
"310M100US34460","43900","*****","Mount Sterling, KY Micro Area"
"310M100US34500","47655","*****","Mount Vernon, IL Micro Area"
"310M100US34540","60201","*****","Mount Vernon, OH Micro Area"
"310M100US34580","115231","*****","Mount Vernon-Anacortes, WA Metro Area"
"310M100US34620","117344","*****","Muncie, IN Metro Area"
"310M100US34660","36763","*****","Murray, KY Micro Area"
"310M100US34700","54184","*****","Muscatine, IA Micro Area"
"310M100US34740","173223","*****","Muskegon-Norton Shores, MI Metro Area"
"310M100US34780","70383","*****","Muskogee, OK Micro Area"
"310M100US34820","258267","*****","Myrtle Beach-North Myrtle Beach-Conway, SC Metro Area"
"310M100US34860","63141","*****","Nacogdoches, TX Micro Area"
"310M100US34900","134051","*****","Napa, CA Metro Area"
"310M100US34940","316931","*****","Naples-Marco Island, FL Metro Area"
"310M100US34980","1541541","*****","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area"
"310M100US35020","53161","*****","Natchez, MS-LA Micro Area"
"310M100US35060","39274","*****","Natchitoches, LA Micro Area"
"310M100US35100","123133","*****","New Bern, NC Micro Area"
"310M100US35140","37197","*****","Newberry, SC Micro Area"
"310M100US35220","48921","*****","New Castle, IN Micro Area"
"310M100US35260","91682","*****","New Castle, PA Micro Area"
"310M100US35300","856688","*****","New Haven-Milford, CT Metro Area"
"310M100US35340","73395","*****","New Iberia, LA Micro Area"
"310M100US35380","1105020","*****","New Orleans-Metairie-Kenner, LA Metro Area"
"310M100US35420","92508","*****","New Philadelphia-Dover, OH Micro Area"
"310M100US35460","35473","*****","Newport, TN Micro Area"
"310M100US35500","37050","*****","Newton, IA Micro Area"
